import_path	maintainer_owner	stability_tier	test_owner	release_blocker_status
github.com/aatuh/api-toolkit/v4/apiclient	core-maintainers	stable	core-test-maintainers	release-blocking-stable
github.com/aatuh/api-toolkit/v4/apitest	core-maintainers	stable	core-test-maintainers	release-blocking-stable
github.com/aatuh/api-toolkit/v4/authorization	core-maintainers	stable	core-test-maintainers	release-blocking-stable
github.com/aatuh/api-toolkit/v4/binding	core-maintainers	stable	core-test-maintainers	release-blocking-stable
github.com/aatuh/api-toolkit/v4/compat/billing	core-maintainers	compatibility-only	core-test-maintainers	release-blocking-stable
github.com/aatuh/api-toolkit/v4/compatkit	core-maintainers	experimental	core-test-maintainers	non-blocking-experimental
github.com/aatuh/api-toolkit/v4/contracttest	core-maintainers	stable	core-test-maintainers	release-blocking-stable
github.com/aatuh/api-toolkit/v4/docscheck	repo-tooling-maintainers	excluded	repo-tooling-test-maintainers	repo-governance
github.com/aatuh/api-toolkit/v4/email	core-maintainers	stable	core-test-maintainers	release-blocking-stable
github.com/aatuh/api-toolkit/v4/endpoints/docs	core-maintainers	stable	core-test-maintainers	release-blocking-stable
github.com/aatuh/api-toolkit/v4/endpoints/health	core-maintainers	stable	core-test-maintainers	release-blocking-stable
github.com/aatuh/api-toolkit/v4/endpoints/list	core-maintainers	stable	core-test-maintainers	release-blocking-stable
github.com/aatuh/api-toolkit/v4/endpoints/pprof	core-maintainers	stable	core-test-maintainers	release-blocking-stable
github.com/aatuh/api-toolkit/v4/endpoints/version	core-maintainers	stable	core-test-maintainers	release-blocking-stable
github.com/aatuh/api-toolkit/v4/fielderrors	core-maintainers	stable	core-test-maintainers	release-blocking-stable
github.com/aatuh/api-toolkit/v4/httpcache	core-maintainers	stable	core-test-maintainers	release-blocking-stable
github.com/aatuh/api-toolkit/v4/httpx	core-maintainers	stable	core-test-maintainers	release-blocking-stable
github.com/aatuh/api-toolkit/v4/httpx/identity	core-maintainers	stable	core-test-maintainers	release-blocking-stable
github.com/aatuh/api-toolkit/v4/httpx/recover	core-maintainers	stable	core-test-maintainers	release-blocking-stable
github.com/aatuh/api-toolkit/v4/idempotent	core-maintainers	stable	core-test-maintainers	release-blocking-stable
github.com/aatuh/api-toolkit/v4/examples/snippets/minimal-existing-service	examples-maintainers	example-only	examples-test-maintainers	example-smoke
github.com/aatuh/api-toolkit/v4/examples/snippets/nethttp-migration	examples-maintainers	example-only	examples-test-maintainers	example-smoke
github.com/aatuh/api-toolkit/v4/internal/compatfixtures/rootcore	repo-tooling-maintainers	excluded	repo-tooling-test-maintainers	repo-governance
github.com/aatuh/api-toolkit/v4/internal/tools/apiadditions	repo-tooling-maintainers	excluded	repo-tooling-test-maintainers	repo-governance
github.com/aatuh/api-toolkit/v4/internal/tools/apiinventory	repo-tooling-maintainers	excluded	repo-tooling-test-maintainers	repo-governance
github.com/aatuh/api-toolkit/v4/internal/tools/coveragetrend	repo-tooling-maintainers	excluded	repo-tooling-test-maintainers	repo-governance
github.com/aatuh/api-toolkit/v4/internal/tools/docsite	repo-tooling-maintainers	excluded	repo-tooling-test-maintainers	repo-governance
github.com/aatuh/api-toolkit/v4/internal/tools/mutationsmoke	repo-tooling-maintainers	excluded	repo-tooling-test-maintainers	repo-governance
github.com/aatuh/api-toolkit/v4/internal/tools/portsledger	repo-tooling-maintainers	excluded	repo-tooling-test-maintainers	repo-governance
github.com/aatuh/api-toolkit/v4/middleware/auth/apikey	core-maintainers	stable	core-test-maintainers	release-blocking-stable
github.com/aatuh/api-toolkit/v4/middleware/auth/authz	core-maintainers	stable	core-test-maintainers	release-blocking-stable
github.com/aatuh/api-toolkit/v4/middleware/auth/tenant	core-maintainers	stable	core-test-maintainers	release-blocking-stable
github.com/aatuh/api-toolkit/v4/middleware/deprecation	core-maintainers	stable	core-test-maintainers	release-blocking-stable
github.com/aatuh/api-toolkit/v4/middleware/idempotency	core-maintainers	stable	core-test-maintainers	release-blocking-stable
github.com/aatuh/api-toolkit/v4/middleware/json	core-maintainers	stable	core-test-maintainers	release-blocking-stable
github.com/aatuh/api-toolkit/v4/middleware/maxbody	core-maintainers	stable	core-test-maintainers	release-blocking-stable
github.com/aatuh/api-toolkit/v4/middleware/querylimits	core-maintainers	stable	core-test-maintainers	release-blocking-stable
github.com/aatuh/api-toolkit/v4/middleware/ratelimit	core-maintainers	stable	core-test-maintainers	release-blocking-stable
github.com/aatuh/api-toolkit/v4/middleware/secure	core-maintainers	stable	core-test-maintainers	release-blocking-stable
github.com/aatuh/api-toolkit/v4/middleware/timeout	core-maintainers	stable	core-test-maintainers	release-blocking-stable
github.com/aatuh/api-toolkit/v4/middleware/trace	core-maintainers	stable	core-test-maintainers	release-blocking-stable
github.com/aatuh/api-toolkit/v4/negotiation	core-maintainers	stable	core-test-maintainers	release-blocking-stable
github.com/aatuh/api-toolkit/v4/operations	core-maintainers	stable	core-test-maintainers	release-blocking-stable
github.com/aatuh/api-toolkit/v4/ports	core-maintainers	stable	core-test-maintainers	release-blocking-stable
github.com/aatuh/api-toolkit/v4/queryparams	core-maintainers	stable	core-test-maintainers	release-blocking-stable
github.com/aatuh/api-toolkit/v4/routecontracts	core-maintainers	stable	core-test-maintainers	release-blocking-stable
github.com/aatuh/api-toolkit/v4/routepolicy	core-maintainers	stable	core-test-maintainers	release-blocking-stable
github.com/aatuh/api-toolkit/v4/scheduler	core-maintainers	stable	core-test-maintainers	release-blocking-stable
github.com/aatuh/api-toolkit/v4/scheduler/migrations	core-maintainers	compatibility-only	core-test-maintainers	release-blocking-stable
github.com/aatuh/api-toolkit/v4/securityprofile	core-maintainers	stable	core-test-maintainers	release-blocking-stable
github.com/aatuh/api-toolkit/v4/specs	core-maintainers	stable	core-test-maintainers	release-blocking-stable
github.com/aatuh/api-toolkit/v4/swagstub	core-maintainers	compatibility-only	core-test-maintainers	release-blocking-stable
github.com/aatuh/api-toolkit/v4/upload	core-maintainers	stable	core-test-maintainers	release-blocking-stable
github.com/aatuh/api-toolkit/v4/webhooks	core-maintainers	stable	core-test-maintainers	release-blocking-stable
github.com/aatuh/api-toolkit/contrib/v4	contrib-maintainers	excluded	contrib-test-maintainers	repo-governance
github.com/aatuh/api-toolkit/contrib/v4/contracts	contrib-maintainers	experimental	contrib-test-maintainers	non-blocking-experimental
github.com/aatuh/api-toolkit/contrib/v4/adapters/auditpostgres	contrib-maintainers	supported-adapter	contrib-test-maintainers	release-blocking-supported-adapter
github.com/aatuh/api-toolkit/contrib/v4/adapters/cacheredis	contrib-maintainers	supported-adapter	contrib-test-maintainers	release-blocking-supported-adapter
github.com/aatuh/api-toolkit/contrib/v4/adapters/cedar	contrib-maintainers	supported-adapter	contrib-test-maintainers	release-blocking-supported-adapter
github.com/aatuh/api-toolkit/contrib/v4/adapters/chi	contrib-maintainers	supported-adapter	contrib-test-maintainers	release-blocking-supported-adapter
github.com/aatuh/api-toolkit/contrib/v4/adapters/clock	contrib-maintainers	wrapper-only	contrib-test-maintainers	touch-scoped-wrapper
github.com/aatuh/api-toolkit/contrib/v4/adapters/envvar	contrib-maintainers	supported-adapter	contrib-test-maintainers	release-blocking-supported-adapter
github.com/aatuh/api-toolkit/contrib/v4/adapters/healthchecktest	contrib-maintainers	test-only	contrib-test-maintainers	test-support
github.com/aatuh/api-toolkit/contrib/v4/adapters/httpclient	contrib-maintainers	supported-adapter	contrib-test-maintainers	release-blocking-supported-adapter
github.com/aatuh/api-toolkit/contrib/v4/adapters/idempotency	contrib-maintainers	experimental	contrib-test-maintainers	non-blocking-experimental
github.com/aatuh/api-toolkit/contrib/v4/adapters/idempotencyredis	contrib-maintainers	supported-adapter	contrib-test-maintainers	release-blocking-supported-adapter
github.com/aatuh/api-toolkit/contrib/v4/adapters/idempotencytest	contrib-maintainers	test-only	contrib-test-maintainers	test-support
github.com/aatuh/api-toolkit/contrib/v4/adapters/logzap	contrib-maintainers	supported-adapter	contrib-test-maintainers	release-blocking-supported-adapter
github.com/aatuh/api-toolkit/contrib/v4/adapters/migrate	contrib-maintainers	supported-adapter	contrib-test-maintainers	release-blocking-supported-adapter
github.com/aatuh/api-toolkit/contrib/v4/adapters/opa	contrib-maintainers	supported-adapter	contrib-test-maintainers	release-blocking-supported-adapter
github.com/aatuh/api-toolkit/contrib/v4/adapters/operationpostgres	contrib-maintainers	supported-adapter	contrib-test-maintainers	release-blocking-supported-adapter
github.com/aatuh/api-toolkit/contrib/v4/adapters/objectstores3	contrib-maintainers	supported-adapter	contrib-test-maintainers	release-blocking-supported-adapter
github.com/aatuh/api-toolkit/contrib/v4/adapters/outboxpostgres	contrib-maintainers	supported-adapter	contrib-test-maintainers	release-blocking-supported-adapter
github.com/aatuh/api-toolkit/contrib/v4/adapters/webhookdeliverypostgres	contrib-maintainers	supported-adapter	contrib-test-maintainers	release-blocking-supported-adapter
github.com/aatuh/api-toolkit/contrib/v4/adapters/pgxpool	contrib-maintainers	supported-adapter	contrib-test-maintainers	release-blocking-supported-adapter
github.com/aatuh/api-toolkit/contrib/v4/adapters/policytest	contrib-maintainers	test-only	contrib-test-maintainers	test-support
github.com/aatuh/api-toolkit/contrib/v4/adapters/ratelimitredis	contrib-maintainers	supported-adapter	contrib-test-maintainers	release-blocking-supported-adapter
github.com/aatuh/api-toolkit/contrib/v4/adapters/ratelimittest	contrib-maintainers	test-only	contrib-test-maintainers	test-support
github.com/aatuh/api-toolkit/contrib/v4/adapters/resend	contrib-maintainers	supported-adapter	contrib-test-maintainers	release-blocking-supported-adapter
github.com/aatuh/api-toolkit/contrib/v4/adapters/stripe	contrib-maintainers	supported-adapter	contrib-test-maintainers	release-blocking-supported-adapter
github.com/aatuh/api-toolkit/contrib/v4/adapters/txpostgres	contrib-maintainers	supported-adapter	contrib-test-maintainers	release-blocking-supported-adapter
github.com/aatuh/api-toolkit/contrib/v4/adapters/ulid	contrib-maintainers	wrapper-only	contrib-test-maintainers	touch-scoped-wrapper
github.com/aatuh/api-toolkit/contrib/v4/adapters/uuid	contrib-maintainers	wrapper-only	contrib-test-maintainers	touch-scoped-wrapper
github.com/aatuh/api-toolkit/contrib/v4/adapters/validation	contrib-maintainers	supported-adapter	contrib-test-maintainers	release-blocking-supported-adapter
github.com/aatuh/api-toolkit/contrib/v4/async	contrib-maintainers	supported-adapter	contrib-test-maintainers	release-blocking-supported-adapter
github.com/aatuh/api-toolkit/contrib/v4/async/asynctest	contrib-maintainers	test-only	contrib-test-maintainers	test-support
github.com/aatuh/api-toolkit/contrib/v4/audit	contrib-maintainers	supported-adapter	contrib-test-maintainers	release-blocking-supported-adapter
github.com/aatuh/api-toolkit/contrib/v4/audit/audittest	contrib-maintainers	test-only	contrib-test-maintainers	test-support
github.com/aatuh/api-toolkit/contrib/v4/bootstrap	contrib-maintainers	supported-adapter	contrib-test-maintainers	release-blocking-supported-adapter
github.com/aatuh/api-toolkit/contrib/v4/cache	contrib-maintainers	supported-adapter	contrib-test-maintainers	release-blocking-supported-adapter
github.com/aatuh/api-toolkit/contrib/v4/cache/cachetest	contrib-maintainers	test-only	contrib-test-maintainers	test-support
