# V4 migration ledger for every exported top-level declaration in ports.
# Consumers are exact non-test package directories from:
#   GOTOOLCHAIN=local go run ./internal/tools/portsledger
# "app-owned (no toolkit import)" is an intentional replacement direction.
# Implementations are concrete v3 evidence for interfaces; value symbols are n/a.
symbol	kind	consumers	implementations	replacement_path	v3_deprecation_status	v4_disposition	migration_evidence
Authorizer	type	authorization	authorization.AllowlistAuthorizer;authorization.PolicyAuthorizer;app implementations	github.com/aatuh/api-toolkit/v4/authorization.Authorizer	deprecated	remove	docs/deprecations.md;authorization/interfaces_test.go;authorization policy tests
AuthorizerFunc	type	authorization;contrib/examples/auth	function adapter	github.com/aatuh/api-toolkit/v4/authorization.AuthorizerFunc	deprecated	remove	docs/deprecations.md;authorization/interfaces_test.go
CORSHandler	type	contrib/bootstrap;contrib/middleware/cors	contrib/middleware/cors.Middleware	github.com/aatuh/api-toolkit/contrib/v4/middleware/cors	active	move	contrib adapter contract;bootstrap migration example
CORSOptions	type	contrib/bootstrap;contrib/middleware/cors	contrib/middleware/cors.Middleware	github.com/aatuh/api-toolkit/contrib/v4/middleware/cors	active	move	contrib adapter contract;bootstrap migration example
CachedHealthManager	type	endpoints/health	endpoints/health.Manager	github.com/aatuh/api-toolkit/v4/endpoints/health.CachedManager	deprecated	remove	docs/deprecations.md;endpoints/health/interfaces_test.go
Clock	type	contrib/adapters/clock;contrib/middleware/metrics;contrib/middleware/oteltrace;contrib/middleware/requestlog;middleware/idempotency;middleware/ratelimit	ports.SystemClock;contrib/adapters/clock.Adapter;test clocks	github.com/aatuh/api-toolkit/v4/clock.Clock	active	move	consumer import inventory;clock migration example;direct tests
DatabaseConnection	type	contrib/adapters/pgxpool;contrib/adapters/txpostgres	contrib/adapters/pgxpool;contrib/adapters/txpostgres	app-owned (no toolkit import)	active	remove	consumer inventory;adapter migration examples;API diff
DatabasePool	type	contrib/adapters/auditpostgres;contrib/adapters/operationpostgres;contrib/adapters/outboxpostgres;contrib/adapters/pgxpool;contrib/adapters/txpostgres;contrib/adapters/webhookdeliverypostgres;contrib/bootstrap;contrib/integrations/pgxpool;contrib/integrations/txpostgres;contrib/scheduler/postgres;endpoints/health;examples/reference-saas-api/cmd/api;examples/reference-saas-api/internal/adapters/postgres	contrib/adapters/pgxpool.Adapter;app pool adapters	app-owned (no toolkit import)	active	remove	consumer inventory;generated-service migration;adapter contract tests;API diff
DatabasePoolSnapshot	type	contrib/adapters/pgxpool;contrib/integrations/pgxpool	contrib/adapters/pgxpool.Adapter	github.com/aatuh/api-toolkit/contrib/v4/adapters/pgxpool	active	move	pgxpool adapter tests;import migration example
DatabasePoolSnapshotProvider	type	-	contrib/adapters/pgxpool.Adapter	github.com/aatuh/api-toolkit/contrib/v4/adapters/pgxpool	active	move	implementation inventory;adapter migration example
DatabaseResult	type	contrib/adapters/pgxpool;contrib/adapters/txpostgres	contrib/adapters/pgxpool;contrib/adapters/txpostgres	app-owned (no toolkit import)	active	remove	consumer inventory;adapter migration examples;API diff
DatabaseRow	type	contrib/adapters/pgxpool;contrib/adapters/txpostgres;contrib/adapters/webhookdeliverypostgres	contrib/adapters/pgxpool;contrib/adapters/txpostgres	app-owned (no toolkit import)	active	remove	consumer inventory;adapter migration examples;API diff
DatabaseRows	type	contrib/adapters/pgxpool;contrib/adapters/txpostgres;contrib/adapters/webhookdeliverypostgres	contrib/adapters/pgxpool;contrib/adapters/txpostgres	app-owned (no toolkit import)	active	remove	consumer inventory;adapter migration examples;API diff
DatabaseTransaction	type	contrib/adapters/pgxpool;contrib/adapters/txpostgres	contrib/adapters/pgxpool;contrib/adapters/txpostgres	app-owned (no toolkit import)	active	remove	consumer inventory;adapter migration examples;API diff
DefaultDocsPaths	func	endpoints/docs;specs	n/a function	github.com/aatuh/api-toolkit/v4/endpoints/docs.DefaultPaths	active	move	endpoints/docs import migration example;endpoint tests
DetailedHealthManager	type	endpoints/health	endpoints/health.Manager	github.com/aatuh/api-toolkit/v4/endpoints/health.DetailedManager	deprecated	remove	docs/deprecations.md;endpoints/health/interfaces_test.go
DetailedHealthResponse	type	contrib/middleware/metrics;endpoints/health	n/a value type	github.com/aatuh/api-toolkit/v4/endpoints/health.DetailedResponse	active	move	endpoint and metrics migration examples;endpoint tests
DocsConfig	type	endpoints/docs	n/a value type	github.com/aatuh/api-toolkit/v4/endpoints/docs.Config	active	move	endpoints/docs import migration example;endpoint tests
DocsHTMLMode	type	endpoints/docs	n/a value type	github.com/aatuh/api-toolkit/v4/endpoints/docs.HTMLMode	active	move	endpoints/docs import migration example;endpoint tests
DocsHTMLModeProvider	type	endpoints/docs	endpoints/docs.Manager	github.com/aatuh/api-toolkit/v4/endpoints/docs.HTMLModeProvider	deprecated	remove	docs/deprecations.md;endpoints/docs/interfaces_test.go
DocsHTMLModeStatic	const	endpoints/docs	n/a constant	github.com/aatuh/api-toolkit/v4/endpoints/docs.HTMLModeStatic	active	move	endpoints/docs import migration example;endpoint tests
DocsHTMLModeSwaggerUI	const	endpoints/docs	n/a constant	github.com/aatuh/api-toolkit/v4/endpoints/docs.HTMLModeSwaggerUI	active	move	endpoints/docs import migration example;endpoint tests
DocsInfo	type	endpoints/docs;specs	n/a value type	github.com/aatuh/api-toolkit/v4/endpoints/docs.Info	active	move	endpoints/docs and specs migration examples;endpoint tests
DocsManager	type	endpoints/docs	endpoints/docs.Manager	github.com/aatuh/api-toolkit/v4/endpoints/docs.ManagerContract	deprecated	remove	docs/deprecations.md;endpoints/docs/interfaces_test.go
DocsPaths	type	endpoints/docs	n/a value type	github.com/aatuh/api-toolkit/v4/endpoints/docs.Paths	active	move	endpoints/docs import migration example;endpoint tests
DocsProvider	type	endpoints/docs	endpoints/docs.Provider implementations	github.com/aatuh/api-toolkit/v4/endpoints/docs.Provider	deprecated	remove	docs/deprecations.md;endpoints/docs/interfaces_test.go
EnvVar	type	contrib/adapters/envvar;contrib/bootstrap;contrib/config	contrib/adapters/envvar.Adapter	github.com/aatuh/api-toolkit/contrib/v4/config	active	move	config migration example;contrib config tests
ErrLegacyInFlightReservationMissingToken	var	contrib/adapters/idempotency;contrib/adapters/idempotencyredis;contrib/adapters/idempotencytest;middleware/idempotency	n/a sentinel	github.com/aatuh/api-toolkit/v4/middleware/idempotency.ErrLegacyInFlightReservationMissingToken	active	move	idempotency adapter migration examples;middleware tests
ErrLegacyInFlightTokenMismatch	var	contrib/adapters/idempotency;contrib/adapters/idempotencyredis;contrib/adapters/idempotencytest;middleware/idempotency	n/a sentinel	github.com/aatuh/api-toolkit/v4/middleware/idempotency.ErrLegacyInFlightTokenMismatch	active	move	idempotency adapter migration examples;middleware tests
ErrResourceMissing	var	contrib/adapters/stripe;httpx	n/a sentinel	github.com/aatuh/api-toolkit/v4/httpx.ErrResourceMissing	active	move	httpx and Stripe migration examples;httpx tests
HTTPClient	type	contrib/adapters/httpclient	contrib/adapters/httpclient.Adapter	app-owned (no toolkit import)	active	remove	consumer inventory;outbound HTTP adapter migration example
HTTPMiddleware	type	contrib/adapters/chi	contrib/adapters/chi.Adapter	app-owned (no toolkit import)	active	remove	consumer inventory;router adapter migration example
HTTPRouter	type	contrib/adapters/chi;contrib/bootstrap;contrib/examples/spec-first;examples/reference-saas-api/cmd/api;examples/reference-saas-api/internal/httpapi;securityprofile	contrib/adapters/chi.Adapter;app routers	app-owned (no toolkit import)	active	remove	consumer inventory;Chi and generated-service migration examples;API diff
HealthCheckConfig	type	endpoints/health;examples/reference-saas-api/internal/httpapi	n/a value type	github.com/aatuh/api-toolkit/v4/endpoints/health.Config	active	move	endpoint and generated-service migration examples;endpoint tests
HealthCheckRegistry	type	-	endpoints/health.Manager	github.com/aatuh/api-toolkit/v4/endpoints/health.Registry	active	move	implementation inventory;endpoint migration example
HealthChecker	type	contrib/adapters/auditpostgres;contrib/adapters/cacheredis;contrib/adapters/healthchecktest;contrib/adapters/objectstores3;contrib/adapters/operationpostgres;contrib/adapters/outboxpostgres;contrib/adapters/resend;contrib/adapters/stripe;contrib/adapters/webhookdeliverypostgres;contrib/integrations/auth/clerk;contrib/integrations/auth/jwt;contrib/integrations/auth/oidc;contrib/integrations/resend;contrib/integrations/stripe;contrib/middleware/auth/clerk;contrib/middleware/auth/oidc;endpoints/health;middleware/auth/jwt	contrib health adapters;endpoints/health checkers	github.com/aatuh/api-toolkit/v4/endpoints/health.Checker	deprecated	remove	docs/deprecations.md;endpoints/health/interfaces_test.go;adapter contract tests
HealthManager	type	endpoints/health	endpoints/health.Manager	github.com/aatuh/api-toolkit/v4/endpoints/health.ManagerContract	deprecated	remove	docs/deprecations.md;endpoints/health/interfaces_test.go
HealthResponse	type	endpoints/health	n/a value type	github.com/aatuh/api-toolkit/v4/endpoints/health.Response	active	move	endpoint migration example;endpoint tests
HealthResult	type	contrib/adapters/healthchecktest;endpoints/health	n/a value type	github.com/aatuh/api-toolkit/v4/endpoints/health.Result	active	move	endpoint and adapter migration examples;endpoint tests
HealthStatus	type	contrib/adapters/auditpostgres;contrib/adapters/cacheredis;contrib/adapters/healthchecktest;contrib/adapters/objectstores3;contrib/adapters/operationpostgres;contrib/adapters/outboxpostgres;contrib/adapters/resend;contrib/adapters/stripe;contrib/adapters/webhookdeliverypostgres;contrib/middleware/auth/clerk;contrib/middleware/auth/oidc;contrib/middleware/metrics;endpoints/health;examples/reference-saas-api/internal/httpapi;middleware/auth/jwt	n/a value type	github.com/aatuh/api-toolkit/v4/endpoints/health.Status	active	move	endpoint and adapter migration examples;endpoint tests
HealthStatusDegraded	const	contrib/adapters/healthchecktest;contrib/adapters/resend;contrib/adapters/stripe;contrib/middleware/auth/clerk;contrib/middleware/auth/oidc;contrib/middleware/metrics;endpoints/health;middleware/auth/jwt	n/a constant	github.com/aatuh/api-toolkit/v4/endpoints/health.StatusDegraded	active	move	endpoint and adapter migration examples;endpoint tests
HealthStatusHealthy	const	contrib/adapters/auditpostgres;contrib/adapters/cacheredis;contrib/adapters/healthchecktest;contrib/adapters/objectstores3;contrib/adapters/operationpostgres;contrib/adapters/outboxpostgres;contrib/adapters/resend;contrib/adapters/stripe;contrib/adapters/webhookdeliverypostgres;contrib/middleware/auth/clerk;contrib/middleware/auth/oidc;contrib/middleware/metrics;endpoints/health;examples/reference-saas-api/internal/httpapi;middleware/auth/jwt	n/a constant	github.com/aatuh/api-toolkit/v4/endpoints/health.StatusHealthy	active	move	endpoint and adapter migration examples;endpoint tests
HealthStatusUnhealthy	const	contrib/adapters/auditpostgres;contrib/adapters/cacheredis;contrib/adapters/healthchecktest;contrib/adapters/objectstores3;contrib/adapters/operationpostgres;contrib/adapters/outboxpostgres;contrib/adapters/webhookdeliverypostgres;contrib/middleware/metrics;endpoints/health;examples/reference-saas-api/internal/httpapi	n/a constant	github.com/aatuh/api-toolkit/v4/endpoints/health.StatusUnhealthy	active	move	endpoint and adapter migration examples;endpoint tests
HealthStatusUnknown	const	contrib/adapters/healthchecktest;contrib/middleware/metrics;endpoints/health	n/a constant	github.com/aatuh/api-toolkit/v4/endpoints/health.StatusUnknown	active	move	endpoint and adapter migration examples;endpoint tests
HealthSummary	type	endpoints/health	n/a value type	github.com/aatuh/api-toolkit/v4/endpoints/health.Summary	active	move	endpoint migration example;endpoint tests
IDGen	type	contrib/adapters/ulid;contrib/adapters/uuid;middleware/trace	contrib/adapters/ulid;contrib/adapters/uuid	app-owned (no toolkit import)	active	remove	consumer inventory;ID adapter migration examples
IdempotencyRecord	type	contrib/adapters/idempotency;contrib/adapters/idempotencyredis;contrib/adapters/idempotencytest;middleware/idempotency	n/a value type	github.com/aatuh/api-toolkit/v4/middleware/idempotency.Record	active	move	idempotency adapter migration examples;middleware tests
IdempotencyReservationReleaser	type	middleware/idempotency	middleware/idempotency stores	github.com/aatuh/api-toolkit/v4/middleware/idempotency.ReservationReleaser	deprecated	remove	docs/deprecations.md;middleware/idempotency/interfaces_test.go
IdempotencyState	type	-	n/a value type	github.com/aatuh/api-toolkit/v4/middleware/idempotency.State	active	move	idempotency migration example;middleware tests
IdempotencyStateAmbiguous	const	contrib/adapters/idempotencytest;middleware/idempotency	n/a constant	github.com/aatuh/api-toolkit/v4/middleware/idempotency.StateAmbiguous	active	move	idempotency adapter migration examples;middleware tests
IdempotencyStateCompleted	const	contrib/adapters/idempotencytest;middleware/idempotency	n/a constant	github.com/aatuh/api-toolkit/v4/middleware/idempotency.StateCompleted	active	move	idempotency adapter migration examples;middleware tests
IdempotencyStateInFlight	const	contrib/adapters/idempotency;contrib/adapters/idempotencyredis;contrib/adapters/idempotencytest;middleware/idempotency	n/a constant	github.com/aatuh/api-toolkit/v4/middleware/idempotency.StateInFlight	active	move	idempotency adapter migration examples;middleware tests
IdempotencyStateUnknown	const	middleware/idempotency	n/a constant	github.com/aatuh/api-toolkit/v4/middleware/idempotency.StateUnknown	active	move	idempotency migration example;middleware tests
IdempotencyStore	type	examples/reference-saas-api/cmd/api;examples/reference-saas-api/internal/adapters/redis;examples/reference-saas-api/internal/httpapi;middleware/idempotency	contrib/adapters/idempotencyredis;app stores	github.com/aatuh/api-toolkit/v4/middleware/idempotency.Store	deprecated	remove	docs/deprecations.md;middleware/idempotency/interfaces_test.go;adapter contract tests
Logger	type	contrib/adapters/chi;contrib/adapters/logzap;contrib/adapters/migrate;contrib/async;contrib/bootstrap;contrib/integrations/auth/clerk;contrib/integrations/auth/devheaders;contrib/integrations/auth/jwt;contrib/integrations/auth/oidc;contrib/middleware/auth/clerk;contrib/middleware/auth/devheaders;contrib/middleware/auth/oidc;contrib/middleware/requestlog;endpoints/health;httpx/recover;middleware/auth/jwt;middleware/auth/shared;middleware/idempotency	ports.NopLogger;contrib/adapters/logzap;app loggers	app-owned (no toolkit import)	active	remove	consumer inventory;logging adapter migration examples;API diff
MethodRouteRegistrar	type	contrib/bootstrap;endpoints/docs;endpoints/health;endpoints/version	contrib/adapters/chi.Adapter;app routers	app-owned (no toolkit import)	active	remove	consumer inventory;endpoint router migration examples
Middleware	type	-	app middleware adapters	app-owned (no toolkit import)	active	remove	implementation inventory;middleware migration example
MiddlewareChain	type	contrib/bootstrap;securityprofile	contrib/adapters/chi.Adapter;app routers	app-owned (no toolkit import)	active	remove	consumer inventory;security profile migration example
Migrator	type	contrib/adapters/migrate;contrib/bootstrap	contrib/adapters/migrate.Adapter	github.com/aatuh/api-toolkit/contrib/v4/adapters/migrate	active	move	migrator migration example;adapter contract tests
NopLogger	type	contrib/adapters/chi;contrib/async;contrib/bootstrap;contrib/middleware/auth/clerk;contrib/middleware/auth/devheaders;contrib/middleware/auth/oidc;contrib/middleware/requestlog;examples/reference-saas-api/cmd/api;examples/reference-saas-api/cmd/worker;httpx/recover;middleware/auth/jwt;middleware/auth/shared;middleware/idempotency	concrete no-op logger	app-owned (no toolkit import)	active	remove	consumer inventory;logging migration example
PolicyDecision	type	authorization;contrib/adapters/cedar;contrib/adapters/opa	n/a value type	github.com/aatuh/api-toolkit/v4/authorization.PolicyDecision	deprecated	remove	docs/deprecations.md;authorization/interfaces_test.go
