# Canonical public-document audience, ownership, and lifecycle manifest.
# Columns: path, audience, canonical_owner, lifecycle (tab-separated).
# Historical records remain searchable but are labelled separately in the generated site.
path	audience	canonical_owner	lifecycle
CHANGELOG.md	release reviewers	release-maintainers	historical
CODE_OF_CONDUCT.md	contributors and maintainers	project-maintainers	current
CONTRIBUTING.md	contributors and maintainers	project-maintainers	current
PANIC_POLICY.md	contributors and maintainers	project-maintainers	current
README.md	application teams and adopters	adoption-maintainers	current
ROADMAP.md	contributors and maintainers	project-maintainers	current
SECURITY.md	developers and security reviewers	security-maintainers	current
VERSIONING.md	release reviewers	release-maintainers	current
docs/README.md	maintainers and adopters	documentation-maintainers	current
docs/adapter-maturity.md	maintainers and adopters	documentation-maintainers	current
docs/adopters.md	application teams and adopters	adoption-maintainers	current
docs/adr/0001-module-boundaries.md	maintainers and API adopters	core-maintainers	current
docs/adr/0002-v5-module-decomposition.md	maintainers and API adopters	core-maintainers	current
docs/alternatives.md	application teams and adopters	adoption-maintainers	current
docs/api-inventory.md	maintainers and API adopters	core-maintainers	current
docs/api-reference.md	maintainers and API adopters	core-maintainers	current
docs/api-review-checklist.md	maintainers and API adopters	core-maintainers	current
docs/architecture.md	maintainers and API adopters	core-maintainers	current
docs/audits.md	maintainers and adopters	documentation-maintainers	current
docs/auth-dependency-split.md	maintainers and adopters	documentation-maintainers	current
docs/auth.md	maintainers and adopters	documentation-maintainers	current
docs/cli-scaffold-identity.md	application teams and adopters	adoption-maintainers	current
docs/concurrency.md	maintainers and API adopters	core-maintainers	current
docs/configuration.md	maintainers and adopters	documentation-maintainers	current
docs/context-cancellation.md	maintainers and API adopters	core-maintainers	current
docs/contrib-adapters.md	application teams and adopters	adoption-maintainers	current
docs/cookbook.md	application teams and adopters	adoption-maintainers	current
docs/core-package-guide.md	maintainers and API adopters	core-maintainers	current
docs/core-readiness.md	maintainers and API adopters	core-maintainers	current
docs/coverage-hardening-backlog.md	release reviewers	release-maintainers	current
docs/coverage-trend.md	release reviewers	release-maintainers	current
docs/dependency-boundary.md	maintainers and API adopters	core-maintainers	current
docs/dependency-footprint.md	maintainers and API adopters	core-maintainers	current
