# Supported contrib adapter behavior contracts.
# Columns: import_path	contract	evidence
github.com/aatuh/api-toolkit/contrib/v4/adapters/auditpostgres	Postgres audit recorder preserves audit event validation, metadata cloning, transaction-context writes, table-name validation, actor/tenant/resource persistence, and readiness health behavior	direct tests in contrib/adapters/auditpostgres plus tagged real PostgreSQL contract in make test-postgres; package docs in contrib/adapters/auditpostgres/doc.go; release drift coverage via docs/contrib-api-drift-packages.txt
github.com/aatuh/api-toolkit/contrib/v4/adapters/cacheredis	Redis cache adapter preserves TTL, get/set/delete, key-prefix, defensive-copy, miss handling, and readiness health behavior	direct tests in contrib/adapters/cacheredis plus cachetest shared contracts; package docs in contrib/adapters/cacheredis/doc.go; release drift coverage via docs/contrib-api-drift-packages.txt
github.com/aatuh/api-toolkit/contrib/v4/adapters/cedar	Cedar policy adapter preserves provider-neutral policy requests, allow/deny semantics, context mapping, malformed request failure, diagnostic error handling, and safe error surfaces	direct tests in contrib/adapters/cedar plus policytest shared contracts; package docs in contrib/adapters/cedar/doc.go; release drift coverage via docs/contrib-api-drift-packages.txt
github.com/aatuh/api-toolkit/contrib/v4/adapters/chi	chi router adapter and authz route validation helpers preserve route registration, URL param extraction, request middleware, and role-coverage validation semantics	direct tests in contrib/adapters/chi; package docs in contrib/adapters/chi/doc.go; release drift coverage via docs/contrib-api-drift-packages.txt
github.com/aatuh/api-toolkit/contrib/v4/adapters/envvar	Environment loading adapter preserves optional and required reads, typed bool/int/uint/float/duration parsing, struct binding, .env loading, deterministic parse errors, and redacted dumps for sensitive keys	direct tests in contrib/adapters/envvar; package docs in contrib/adapters/envvar/doc.go; release drift coverage via docs/contrib-api-drift-packages.txt
github.com/aatuh/api-toolkit/contrib/v4/adapters/httpclient	Outbound HTTP client adapter preserves timeout configuration, retry eligibility, Retry-After handling, breaker failure classification, bulkhead acquisition, replayable request body handling, and SSRF transport host/scheme/port/CIDR redirect protections	direct tests in contrib/adapters/httpclient; package docs in contrib/adapters/httpclient/doc.go; release drift coverage via docs/contrib-api-drift-packages.txt
github.com/aatuh/api-toolkit/contrib/v4/adapters/idempotencyredis	Redis idempotency adapter preserves reservation, replay, token-aware release, legacy tokenless recovery, and TTL behavior	direct tests in contrib/adapters/idempotencyredis plus idempotencytest shared contracts; package docs in contrib/adapters/idempotencyredis/doc.go; release drift coverage via docs/contrib-api-drift-packages.txt
github.com/aatuh/api-toolkit/contrib/v4/adapters/logzap	zap logger adapter preserves core ports.Logger field forwarding and construction behavior without adding root logging dependencies	direct tests in contrib/adapters/logzap; package docs in contrib/adapters/logzap/doc.go; release drift coverage via docs/contrib-api-drift-packages.txt
github.com/aatuh/api-toolkit/contrib/v4/adapters/migrate	Database migration adapter preserves construction over contrib migrator, up/status/check/verify delegation, guarded down behavior, deterministic lifecycle errors, and local-operator command boundaries	direct tests in contrib/adapters/migrate and contrib/migrator plus tagged real PostgreSQL contract in make test-postgres; package docs in contrib/adapters/migrate/doc.go; release drift coverage via docs/contrib-api-drift-packages.txt
github.com/aatuh/api-toolkit/contrib/v4/adapters/operationpostgres	Postgres operation repository preserves tenant context enforcement, create/get/update lifecycle persistence, state validation, JSON result/problem mapping, table-name validation, and readiness health behavior	direct tests in contrib/adapters/operationpostgres plus tagged real PostgreSQL contract in make test-postgres; package docs in contrib/adapters/operationpostgres/doc.go; release drift coverage via docs/contrib-api-drift-packages.txt
github.com/aatuh/api-toolkit/contrib/v4/adapters/opa	OPA policy adapter preserves provider-neutral policy request JSON mapping, allow/deny semantics, result-key extraction, malformed response failure, non-2xx handling, and safe error surfaces	direct tests in contrib/adapters/opa plus policytest shared contracts; package docs in contrib/adapters/opa/doc.go; release drift coverage via docs/contrib-api-drift-packages.txt
github.com/aatuh/api-toolkit/contrib/v4/adapters/objectstores3	S3-compatible object storage adapter preserves SigV4 signing, object put/get/delete, signed URL generation, content-type/size policy, metadata mapping, not-found behavior, and readiness health behavior	direct tests in contrib/adapters/objectstores3 plus objectstoretest shared contracts; package docs in contrib/adapters/objectstores3/doc.go; release drift coverage via docs/contrib-api-drift-packages.txt
github.com/aatuh/api-toolkit/contrib/v4/adapters/outboxpostgres	Postgres transactional outbox preserves enqueue, async lease, completion, retry/dead-letter scheduling, stuck-lease recovery, table-name validation, low-secret failure handling, and readiness health behavior	direct tests in contrib/adapters/outboxpostgres plus asynctest shared contracts and tagged real PostgreSQL contract in make test-postgres; package docs in contrib/adapters/outboxpostgres/doc.go; release drift coverage via docs/contrib-api-drift-packages.txt
github.com/aatuh/api-toolkit/contrib/v4/adapters/pgxpool	Postgres pool adapter preserves database stats, health, and pool lifecycle boundaries around pgxpool	direct tests in contrib/adapters/pgxpool plus tagged real PostgreSQL contract in make test-postgres; package docs in contrib/adapters/pgxpool/doc.go; release drift coverage via docs/contrib-api-drift-packages.txt
github.com/aatuh/api-toolkit/contrib/v4/adapters/ratelimitredis	Redis rate-limit adapter preserves allow/deny contract, reset timing, and Redis-backed counter semantics	direct tests in contrib/adapters/ratelimitredis plus ratelimittest shared contracts; package docs in contrib/adapters/ratelimitredis/doc.go; release drift coverage via docs/contrib-api-drift-packages.txt
github.com/aatuh/api-toolkit/contrib/v4/adapters/resend	Resend email adapter preserves email.Sender mapping, config loading, and readiness health behavior	direct tests in contrib/adapters/resend plus healthchecktest shared contracts; package docs in contrib/adapters/resend/doc.go; release drift coverage via docs/contrib-api-drift-packages.txt
github.com/aatuh/api-toolkit/contrib/v4/adapters/stripe	Stripe adapter preserves checkout, billing compatibility, webhook verification, config loading, and readiness health behavior	direct tests in contrib/adapters/stripe plus healthchecktest shared contracts; package docs in contrib/adapters/stripe/doc.go; release drift coverage via docs/contrib-api-drift-packages.txt
