package	status	reason	release_note_acknowledgement	reviewed_on	expires_on	owner
github.com/aatuh/api-toolkit/contrib/v4/adapters/idempotencyredis	compatible	Release and ReleaseReservation plus legacy recovery telemetry were added while preserving exported type comparability.	not_required	2026-05-02	2026-08-01	contrib-idempotency-maintainers
github.com/aatuh/api-toolkit/contrib/v4/adapters/pgxpool	compatible	StatSnapshot was added to support plain-value database stats migration.	not_required	2026-05-01	2026-08-01	contrib-database-maintainers
github.com/aatuh/api-toolkit/contrib/v4/adapters/stripe	compatible	GetSubscriptionPrimaryItemID was added as an adapter convenience helper.	not_required	2026-05-01	2026-08-01	contrib-billing-maintainers
github.com/aatuh/api-toolkit/contrib/v4/adapters/txpostgres	compatible	ErrPoolNotConfigured was added for clearer adapter startup failures.	not_required	2026-05-01	2026-08-01	contrib-database-maintainers
github.com/aatuh/api-toolkit/contrib/v4/adapters/validation	compatible	NewValidateValidator plus structured Code and Param fields were added while preserving the ports.Validator adapter surface.	not_required	2026-05-20	2026-08-20	contrib-validation-maintainers
github.com/aatuh/api-toolkit/contrib/v4/bootstrap	compatible	System endpoint mounting helpers, profile helpers, migration helpers, APIService composition, middleware-order validation, background tasks, and shutdown hooks were added.	not_required	2026-05-13	2026-08-13	contrib-bootstrap-maintainers
github.com/aatuh/api-toolkit/contrib/v4/integrations/auth/clerk	compatible	Subject now exposes comparable tenant and scope strings via the middleware alias for policy after validation.	not_required	2026-05-13	2026-08-13	contrib-auth-maintainers
github.com/aatuh/api-toolkit/contrib/v4/integrations/pgxpool	compatible	Snapshot was added to expose plain-value database stats through the integration wrapper.	not_required	2026-05-01	2026-08-01	contrib-database-maintainers
github.com/aatuh/api-toolkit/contrib/v4/middleware/auth/clerk	compatible	Subject now exposes comparable tenant and scope strings for policy after validation.	not_required	2026-05-13	2026-08-13	contrib-auth-maintainers
github.com/aatuh/api-toolkit/contrib/v4/middleware/auth/devheaders	compatible	Trusted-proxy validation and explicit dev-bypass opt-in were added while preserving exported type comparability.	not_required	2026-05-02	2026-08-01	contrib-auth-maintainers
github.com/aatuh/api-toolkit/contrib/v4/middleware/metrics	compatible	Checked Prometheus recorder construction and bounded health status transition metrics were added while preserving existing HTTP metrics APIs.	not_required	2026-05-13	2026-08-13	contrib-observability-maintainers
github.com/aatuh/api-toolkit/contrib/v4/middleware/requestlog	compatible	Committed-status, panic-recovery, stack logging, and payload-redaction helpers were added.	not_required	2026-05-02	2026-08-01	contrib-observability-maintainers
